"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator SDMX Code","RAXGFXARCNYRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Chinese Renminbi, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Short Name","Shares of Chinese renminbi, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARDEMRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Code","RAXGFXARDEMRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Concept","Shares of Deutsche mark",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator CTS Code","RAXGFXARDEMRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Display Name","Shares of Deutsche mark",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of Deutsche mark, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of Deutsche mark, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator SDMX Code","RAXGFXARDEMRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Deutsche mark, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Short Name","Shares of Deutsche mark, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Deutsche mark, Percent","RAXGFXARDEMRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARECURT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Code","RAXGFXARECURT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Concept","Shares of ECUs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator CTS Code","RAXGFXARECURT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Display Name","Shares of ECUs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of ECUs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Name","Shares of Allocated Reserves, Shares of ECUs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator SDMX Code","RAXGFXARECURT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of ECUs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Short Name","Shares of ECUs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of ECUs, Percent","RAXGFXARECURT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXAREURORT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Code","RAXGFXAREURORT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Concept","Shares of euro",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator CTS Code","RAXGFXAREURORT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Display Name","Shares of euro",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of euro, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Name","Shares of Allocated Reserves, Shares of euro, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator SDMX Code","RAXGFXAREURORT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Euro, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Short Name","Shares of euro, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of euro, Percent","RAXGFXAREURORT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARFRFRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Code","RAXGFXARFRFRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Concept","Shares of French francs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator CTS Code","RAXGFXARFRFRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Display Name","Shares of French francs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of French francs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of French francs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator SDMX Code","RAXGFXARFRFRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of French francs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Short Name","Shares of French francs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of French francs, Percent","RAXGFXARFRFRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARJPYRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Code","RAXGFXARJPYRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Concept","Shares of Japanese yen",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator CTS Code","RAXGFXARJPYRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Display Name","Shares of Japanese yen",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of Japanese yen, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of Japanese yen, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator SDMX Code","RAXGFXARJPYRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Japanese yen, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Short Name","Shares of Japanese yen, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Japanese yen, Percent","RAXGFXARJPYRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARNLGRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Code","RAXGFXARNLGRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Concept","Shares of Netherlands guilders",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator CTS Code","RAXGFXARNLGRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Display Name","Shares of Netherlands guilders",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of Netherlands guilders, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator SDMX Code","RAXGFXARNLGRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Short Name","Shares of Netherlands guilders, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Netherlands guilders, Percent","RAXGFXARNLGRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXAROCRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Code","RAXGFXAROCRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Concept","Shares of other currencies",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator CTS Code","RAXGFXAROCRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Display Name","Shares of other currencies",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of other currencies, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of other currencies, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator SDMX Code","RAXGFXAROCRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Other currencies, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Short Name","Shares of other currencies, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of other currencies, Percent","RAXGFXAROCRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARGBPRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Code","RAXGFXARGBPRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Concept","Shares of pounds sterling",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator CTS Code","RAXGFXARGBPRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Display Name","Shares of pounds sterling",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of pounds sterling, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of pounds sterling, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator SDMX Code","RAXGFXARGBPRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Pounds sterling, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Short Name","Shares of pounds sterling, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARCHFRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Code","RAXGFXARCHFRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Concept","Shares of Swiss francs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator CTS Code","RAXGFXARCHFRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Display Name","Shares of Swiss francs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of Swiss francs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of Swiss francs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator SDMX Code","RAXGFXARCHFRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Swiss francs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Short Name","Shares of Swiss francs, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Indicator Unit","Percent",""
